Age MementoCount
2054 20
3537 6
991 20
991 20
991 20
991 20
2054 20
176 4
6085 2549
1678 55
1988 42
2054 20
2054 20
991 20
564 2
991 20
2054 20
4982 25
2054 20
991 20
2054 20
2043 20
725 8
284 4
991 20
1497 272
2514 5708
991 20
2054 20
991 20
2054 20
991 20
2054 20
5467 5848
2054 20
2054 20
2054 20
991 20
2054 20
2054 20
2054 20
2054 20
2054 20
991 20
991 20
2054 20
991 20
991 20
991 20
1970 107
991 20
2054 20
991 20
2054 20
336 5
991 20
991 20
2054 20
1720 6
991 20
3173 12
2054 20
2054 20
393 3
2283 71
991 20
991 20
304 1
4952 4618
991 20
2054 20
2054 20
2054 20
3381 12
1150 7
991 20
1771 54
1940 5
539 19
2054 20
991 20
991 20
428 55
2054 20
991 20
2054 20
2054 20
991 20
991 20
2283 71
271 1
991 20
2054 20
991 20
1396 3
991 20
5253 161
991 20
991 20
991 20
991 20
2054 20
1988 42
991 20
991 20
2054 20
991 20
2054 20
991 20
991 20
991 20
2054 20
1164 78
5628 685
991 20
2054 20
1487 6
991 20
2054 20
2054 20
991 20
2838 83
2054 20
2054 20
4246 7
2054 20
2573 20990
991 20
665 2
2054 20
1377 33
2413 3
2054 20
991 20
2054 20
2054 20
991 20
1529 22
740 14
991 20
991 20
4982 17
4217 16
991 20
2054 20
617 10
991 20
18 1
1729 20
451 37
2054 20
2054 20
382 15
2054 20
2054 20
2054 20
991 20
8 1
2084 1
4680 150
991 20
2054 20
2283 71
2383 131
991 20
178 4
5731 171
2054 20
991 20
2054 20
991 20
2112 279
4982 40
284 1
991 20
991 20
2054 20
2054 20
73 3
991 20
991 20
991 20
991 20
2054 20
2282 71
1988 42
1895 6
991 20
1248 4
1405 1
991 20
2054 20
2054 20
2054 20
640 20
2054 20
