Blog	hat	traffic	begins	yours	tour	expensive	apple	parties	cd	daddy	considered	paying	checking	checked	besides	meal	character	childhood	opinion	animals	interest	rough	threw	rush	prayer	shape	colors	career	effect	marriage	bird	grass	strength	september	visiting	officially	becoming	attempt	film	society	younger	ending	background	milk	bathroom	runs	battle	bridge	period	sold	include	spoke	accept	basically	jesus	bill	island	huh	fake	angry	invited	issue	teach	whose	charge	east	creative	continued	rule	tickets	calm	correct	among	whom	sell	ring	discovered	performance	degrees	concert	base	pure	boss	response	tight	perfectly	folks	jack	honestly	midnight	aside	lake	plain	soft	bye	sand	riding	ordered	laughed	sex	answers	confused	extremely	fans	report	feed	jobs	anniversary	block	solid	blow	signs	musical	cost	nor	goodbye	flat	david	avoid	balance	ha	recommend	airport	joined	trick	progress	ear	via	throwing	evil	bringing	comfort	easter	trips	football	flight	rose	attack	enter	serve	program	lower	member	pretend	aware	forgotten	distance	tall	obvious	gifts	paul	familiar	review	edge	america	houses	likely	seven	worried	disappointed	despite	perhaps	relax	w	security	describe	pushed	offered	shots	topic	odd	damn	grab	annoying	stress	pages	teaching	celebration	giant	hurts	manage	police	bank	sometime	row	adventure	counting	burn	prepare	filling	pushing	understanding	bike	interview	president	visited	normally	holy	accident	suck	dying	typical	cell	plastic	lessons	nobody	guide	female	river	thrown	text	cookies	personally	patient	smaller	waste	french	reminds	impossible	balls	stomach	passion	letters	excitement	artist	streets	inspired	yard	knowledge	ocean	faster	leading	successful	score	ah	smoke	flash	ass	ups	passing	pride	fashion	hardly	camp	thick	blessed	mirror	saved	activity	searching	pressure	product	sigh	wave	catching	degree	wash	fail	leg	dust	central	classic	talks	neighborhood	greatest	included	sets	square	challenge	government	items	highly	grateful	experiences	struggle	plenty	forced	stone	load	bread	upset	signed	parent	drama	routine	drinks	golden	research	account	fault	lying	lift	bet	teachers	rate	painting	fever	personality	oil	complain	burning	education	rolling	walks	thin	garage	expecting	youtube	suppose	downtown	sudden	cutting	driver	option	smiling	sunny	glasses	dishes	thanksgiving	web	tend	library	buddy	granted	session	indeed	pleasure	wise	desire	bite	emotional	match	jumping	toy	quit	heads	someday	traveling	related	jumped	listened	google	screaming	concept	ugly	holds	prayers	cash	decent	sides	forth	conversations	design	toys	gas	minor	van	prefer	info	shake	channel	ignore	shirts	festival	fantastic	lets	cousins	thousand	grace	angel	media	net	videos	bands	model	fighting	wine	selling	boots	freedom	neck	creating	material	nowhere	target	button	content	lyrics	annual	exact	pulling	slide	wrapped	breaks	deserve	drunk	prove	answered	matters	bother	loose	sounded	belly	stands	limited	lonely	swing	hero	boyfriend	concerned	attitude	receive	puts	regret	professional	chest	particularly	shock	george	forgive	fancy	goodness	therefore	split	repeat	raised	popular	risk	climb	returned	clouds	attend	agreed	ability	thus	hated	promised	flower	flies	fed	delicious	directly	proper	tom	stairs	james	egg	pregnant	sadly	hearts	master	plate	remain	eggs	flip	rare	heading	vote	birds	sunshine	diet	audience	groups	hug	curious	rocks	experienced	meat	climbing	fabulous	merry	touched	laundry	truck	continues	mistake	becomes	glory	various	horse	culture	ticket	necessary	express	fallen	press	episode	vs	beer	entry	collection	crap	exercise	presence	released	reaction	male	toilet	humor	california	physical
Marvelous Musings	2	1	1	0	7	1	3	1	0	1	2	1	1	7	2	2	4	1	1	2	1	3	3	5	3	1	4	1	1	7	3	1	6	4	2	5	2	5	2	0	0	0	0	0	5	1	7	2	25	2	6	0	3	1	12	1	4	4	2	8	7	0	5	6	0	0	4	4	3	3	13	1	0	3	0	2	7	1	7	2	0	0	9	3	1	5	2	1	0	5	9	8	2	2	0	1	0	0	7	4	4	2	0	1	1	1	2	1	2	0	0	1	6	3	2	3	2	52	4	1	4	4	3	3	2	0	1	0	2	4	4	2	4	3	3	2	1	3	4	2	1	1	2	4	2	3	0	1	2	3	2	1	2	2	2	5	5	3	0	2	3	9	2	1	0	2	2	1	1	8	0	1	0	2	10	8	23	2	2	4	2	4	0	0	4	5	0	1	5	1	0	3	3	5	1	0	1	12	0	2	3	0	9	1	9	4	4	4	7	1	0	1	4	5	2	0	2	2	1	0	3	2	3	5	1	5	1	5	5	3	0	2	3	2	1	0	3	1	2	1	1	0	1	1	2	6	0	3	1	0	2	1	10	2	4	1	0	4	0	1	0	0	1	3	1	5	2	1	2	1	1	5	3	4	1	1	3	1	1	6	3	2	5	1	0	1	1	3	0	6	0	0	0	21	2	1	5	1	0	2	4	4	2	1	2	2	0	1	1	6	3	2	1	0	1	8	2	1	2	0	3	6	1	4	0	5	3	0	0	2	3	0	2	2	3	2	2	2	8	2	2	2	1	0	3	4	6	0	1	1	0	6	0	2	1	3	5	4	2	0	2	0	3	1	3	1	4	2	4	0	0	1	1	1	0	7	5	2	4	0	0	3	2	0	0	0	1	0	0	4	1	0	0	2	2	4	1	3	0	0	2	1	2	1	2	7	4	1	7	1	1	2	0	0	5	1	4	1	0	1	1	1	2	2	4	1	1	1	1	1	1	1	0	1	1	1	3	1	3	1	3	0	0	0	0	1	0	11	3	4	5	1	2	1	2	2	0	0	4	13	3	3	0	4	2	0	0	3	2	10	4	0	3	4	0	1	0	2	4	2	4	0	2	1	2	0	0	0	4	1	0	4	7	4	0	2	7	1	0	0	0
let lemons be angry	1	2	1	1	3	4	3	4	0	1	0	2	0	0	1	4	0	4	1	1	7	1	1	5	6	1	4	3	3	2	2	8	3	0	1	0	6	1	12	3	3	4	2	2	2	0	0	2	0	2	2	1	5	1	2	0	8	0	4	3	2	1	1	2	0	3	1	0	2	1	1	3	6	1	2	1	0	2	2	3	0	3	2	1	5	6	2	3	1	3	4	5	4	7	0	2	0	0	2	1	5	0	0	2	2	3	8	6	4	2	1	3	3	3	2	3	2	3	1	1	1	0	6	3	3	2	3	2	1	2	2	4	0	2	0	2	2	2	2	2	2	2	1	4	1	6	1	0	1	4	0	2	0	1	0	4	0	6	0	1	8	12	0	1	2	2	4	1	3	3	1	0	1	0	2	1	2	2	3	2	2	1	0	1	1	1	1	1	1	2	1	4	0	4	1	3	1	0	2	0	9	2	3	6	6	6	1	6	0	3	1	2	3	5	0	7	4	3	4	5	0	3	4	1	7	0	2	0	1	1	1	0	0	0	3	1	2	0	0	3	2	17	1	31	3	6	6	4	0	0	2	4	5	2	3	0	1	4	1	3	1	2	2	1	4	0	2	1	0	3	2	3	2	3	1	5	1	2	0	1	0	2	0	8	2	1	4	3	1	0	4	4	2	3	0	22	5	3	4	3	2	5	1	1	0	0	4	4	6	0	3	3	2	0	4	2	6	1	1	5	1	4	0	1	6	1	1	3	3	0	2	3	0	4	0	5	1	0	0	4	2	1	2	2	3	0	3	1	0	1	1	6	8	2	0	0	2	2	0	1	2	2	7	2	1	1	1	3	1	0	1	1	5	2	2	1	0	1	3	0	2	1	0	4	2	0	3	5	0	2	1	1	6	5	3	0	3	2	0	0	2	0	6	0	2	5	3	1	3	3	1	3	2	2	0	0	2	2	1	0	1	2	2	2	1	0	2	2	0	1	5	2	2	0	0	2	2	3	0	3	1	1	5	2	3	1	3	0	1	14	1	2	1	1	1	7	1	1	1	2	1	4	2	2	2	1	1	1	0	4	1	3	0	0	0	0	3	4	1	3	6	0	1	0	2	2	1	0	0	2	4	0	3	2	0	0	6	9	0	0	3
meandering recollections	0	1	4	1	0	0	0	3	0	1	0	1	3	1	0	1	0	2	0	1	0	0	0	1	1	4	0	2	2	0	0	2	0	0	0	0	5	0	0	0	0	1	0	3	0	3	1	0	0	0	0	1	0	0	0	1	8	2	0	3	0	0	0	2	0	1	2	1	1	1	3	0	1	3	0	0	0	0	0	5	0	3	0	0	2	0	0	3	0	0	1	0	2	1	0	0	0	0	4	1	4	0	12	1	0	0	0	2	2	0	1	0	6	1	6	1	2	4	1	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	2	0	7	0	0	0	0	0	3	2	5	10	1	5	0	4	2	0	1	0	0	1	1	0	0	0	2	0	0	0	1	1	0	1	0	3	1	1	0	0	0	2	2	3	1	0	0	3	0	0	1	0	0	0	2	2	7	5	0	0	0	0	0	2	3	2	2	1	0	8	0	1	1	0	0	3	1	1	1	0	1	1	0	0	3	7	3	0	0	0	3	0	0	3	0	1	0	0	0	0	2	0	1	1	2	3	2	1	1	0	5	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	2	1	2	0	1	0	0	1	1	0	0	1	3	2	2	0	0	0	0	0	0	0	1	6	3	1	4	4	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	1	0	2	1	0	0	1	0	0	0	0	0	2	1	6	0	5	0	0	3	0	0	1	0	0	0	2	0	2	0	0	0	2	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	0	0	0	2	1	4	2	3	2	2	0	0	0	0	1	0	0	2	2	0	0	1	0	3	1	0	0	0	0	3	0	0	1	2	0	0	3	0	0	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	0	6	0	3	0	2	0	0	1	0	0	1	0	0	0	0	4	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1
KeLLy	0	9	1	2	1	14	2	1	0	21	3	3	5	8	2	8	1	2	1	1	1	0	0	4	0	5	0	1	1	0	1	2	2	16	6	7	0	0	1	3	2	2	0	5	1	0	0	1	4	1	0	2	2	0	0	2	2	10	1	10	1	0	5	2	2	0	0	3	0	5	2	5	2	1	3	2	1	2	0	4	0	0	11	4	4	0	0	0	3	5	1	4	0	4	16	3	0	8	23	0	0	3	4	0	2	0	0	8	0	1	8	1	0	5	0	3	0	0	2	0	2	0	3	8	1	0	2	0	1	0	7	1	0	1	0	4	1	7	0	3	0	4	0	3	2	1	4	0	3	4	0	10	0	0	0	1	0	0	6	3	0	2	3	3	2	2	2	2	2	2	1	44	1	2	2	0	16	10	0	7	9	1	4	1	6	0	4	3	5	0	1	0	0	2	5	0	1	0	2	4	3	3	1	0	4	10	2	1	1	0	0	5	0	2	4	9	0	4	4	5	7	3	1	1	1	0	0	0	1	0	11	0	2	0	203	2	5	6	2	0	0	3	4	0	6	0	7	2	0	8	2	2	9	3	2	2	6	7	6	0	0	0	2	0	1	0	0	5	1	0	0	0	0	0	0	1	6	1	0	5	1	0	0	4	1	8	0	1	3	6	0	0	0	12	2	0	11	1	1	3	5	1	0	1	1	0	1	0	1	0	16	4	7	0	2	3	3	1	0	0	0	2	0	5	21	9	0	2	0	5	2	3	1	9	2	0	1	1	3	5	1	2	1	1	4	0	4	1	0	0	1	0	0	0	0	2	0	7	0	9	2	6	3	5	0	0	0	1	1	0	0	0	6	0	0	1	0	6	0	2	0	0	0	0	1	0	0	2	0	1	0	1	0	0	2	0	4	2	0	4	0	3	0	3	2	3	2	0	1	0	3	3	0	3	0	0	0	4	0	2	2	0	1	0	4	0	3	1	4	1	0	3	3	1	1	0	8	0	7	2	4	0	2	4	2	0	2	0	1	2	3	1	0	4	0	0	1	0	0	2	2	0	0	6	0	1	5	3	2	0	6	11	1	0	1	3	1	0	0	0	1	5	3	3	1	3	0	3	0	0	1	6	0	0	5	13	0	21	0	0	0
Shelze's World	8	2	1	5	9	3	13	0	0	16	3	14	7	8	16	14	0	1	2	2	7	2	1	10	6	29	7	5	0	7	0	0	5	7	2	16	12	6	1	2	3	6	0	14	8	21	1	7	4	0	2	3	3	0	2	2	3	2	0	0	3	2	7	0	4	6	3	17	2	3	2	9	0	2	1	3	0	3	10	0	2	2	2	0	8	2	20	0	11	4	2	0	0	0	4	6	2	4	4	1	0	2	1	3	6	7	1	10	1	0	2	8	0	1	11	3	7	1	3	6	2	6	4	6	3	5	1	3	3	1	4	13	20	9	2	2	1	1	8	4	17	3	0	1	3	0	13	2	1	8	0	2	6	0	1	1	1	0	26	8	0	0	6	2	5	2	9	12	2	1	2	2	1	0	21	1	5	0	0	4	3	1	1	11	3	12	3	5	3	2	14	2	14	5	0	2	7	13	4	0	1	4	1	4	7	0	0	2	4	0	5	8	2	23	9	1	6	1	3	3	6	2	0	5	0	0	5	9	2	6	12	1	1	1	1	3	1	2	2	3	3	0	2	9	3	9	1	2	2	1	3	3	0	2	1	3	4	4	6	3	4	1	3	6	3	8	1	1	22	2	3	0	2	0	4	1	1	2	6	2	5	9	2	0	5	1	1	6	2	3	0	1	2	1	3	3	4	6	0	3	0	2	11	17	5	4	8	1	0	1	0	4	2	4	4	1	8	2	18	2	0	1	0	6	15	0	0	2	2	1	5	0	5	2	6	0	1	2	7	6	0	0	2	1	3	4	9	2	0	2	1	2	2	0	2	1	4	3	0	3	0	1	8	1	1	1	6	1	4	4	0	1	2	2	2	3	2	0	2	0	2	0	1	0	5	9	0	0	2	3	1	0	4	1	10	0	0	2	9	2	1	2	12	4	4	2	11	1	5	6	1	1	5	5	3	2	1	2	6	3	0	2	11	1	3	0	0	2	1	5	1	3	4	8	3	2	4	2	3	0	2	5	1	0	5	1	2	26	0	2	1	4	1	4	4	0	9	0	3	1	7	0	1	2	1	3	3	2	0	2	4	1	5	2	10	0	1	1	1	3	2	2	0	1	0	0	0	1	2	1	2	10	23	2	0	0	0	0	2	0	17
Our CRAZY, MESSY yet so very FABULOUS life.- A & G	5	0	0	0	0	0	0	0	1	81	1	0	1	0	1	5	0	4	0	1	0	2	2	0	2	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	8	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	9	5	4	0	1	1	0	3	4	1	1	1	0	3	0	0	1	2	0	0	0	2	0	0	0	0	13	2	1	1	2	0	3	0	1	0	0	1	16	4	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	1	3	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	2	1	1	2	0	0	0	18	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	5	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0	4	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	7	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	7	4	0	0	0	1	1	0	0	2	0	4	1	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	4	0	5	0	0	7	1	0	5	2	0	2	0	2	0	3	0	3	0	0	1	0	1	0	0	0	15	0	0	0	1	6	2	0	3	2	0	0	0	0	0	2	0	2	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
kolorofon team blog	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	3	0	0	0	1	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0
A JOURNEY TOWARD HOPE	0	4	1	0	1	1	1	2	1	0	0	0	2	0	1	1	0	2	0	0	1	0	1	0	11	1	0	1	1	4	0	1	3	0	4	3	3	2	0	0	0	1	0	0	0	2	2	0	3	0	2	2	0	1	1	0	0	0	1	3	0	5	2	1	0	0	1	3	0	0	1	0	1	1	0	1	2	0	0	0	0	0	1	1	1	6	2	0	0	0	0	2	0	0	0	0	0	0	4	0	1	0	0	0	1	1	1	2	0	0	0	1	0	1	0	1	0	3	3	1	0	0	0	1	1	1	1	0	0	0	0	3	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0	3	1	2	1	0	4	1	0	1	4	0	1	4	0	0	0	1	1	0	0	6	0	0	0	2	0	1	5	2	4	2	2	0	0	1	1	0	3	0	0	1	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	1	0	0	1	0	0	2	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	10	1	1	1	1	0	0	1	1	4	1	2	0	0	0	0	1	1	0	3	1	0	0	0	0	2	1	3	0	1	0	0	0	0	0	0	1	3	1	1	0	0	1	2	0	0	1	0	0	0	3	1	0	0	0	0	1	1	0	0	0	2	3	0	0	1	2	0	1	3	0	0	0	0	1	1	0	1	0	0	0	1	1	2	1	1	1	1	2	0	0	0	1	2	1	2	0	0	2	0	0	9	0	1	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	2	0	7	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	3	0	0	0	0	6	1	0	1	0	0	0	1	1	0	0	0	2	1	0	4	0	2	0	6	0	0	1	1	1	0	3	1	0	0	1	0	3	0	5	1	3	0	0	0	0	0	1	0	0	22	1	2	1	2	1	1	1	0	6	0	0	0	0	1	0	0	0	2	1	0	0	5	1	4	1	1	1	0	1	2	1	0	0	0	2	1	1	0	1	0	0	0	1	0	1	4	0	2	0	1	0	8	0
T i F F ' s	0	1	0	0	0	2	0	0	0	3	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	15	2	9	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	5	0	0	0	0	0	0	0	56	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	4	0	0	0	0	2	0	0	1	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	3	0	2	0	1	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	1	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
The California Whites	0	0	0	0	1	1	0	0	1	4	0	0	0	2	1	0	1	1	0	2	0	1	1	0	0	0	0	0	0	3	0	2	1	0	3	0	0	0	0	2	0	0	1	1	2	4	0	0	1	2	1	0	0	0	1	0	0	2	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	1	3	0	0	0	0	0	0	0	1	8	2	0	3	2	2	7	0	3	0	0	0	0	2	0	5	2	1	0	2	0	0	0	0	2	0	0	0	1	0	0	0	3	5	1	2	1	0	0	0	1	0	0	1	7	0	0	0	0	0	1	0	2	0	1	3	2	1	0	1	4	0	0	0	2	0	0	3	0	0	3	2	1	0	0	0	0	1	2	0	1	0	0	0	0	1	1	3	3	2	0	0	0	0	1	4	1	2	0	1	0	0	2	0	0	0	2	5	1	0	0	1	0	2	0	1	5	0	0	0	5	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	1	1	0	0	2	0	0	1	0	0	0	0	4	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	2	3	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	2	0	2	0	3	0	2	0	0	0	0	0	1	0	1	3	0	1	1	1	1	2	0	1	0	3	2	0	0	1	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	4	0	0	1	2	0	0	0	0	2	0	5	0	1	0	0	1	0	0	0	0	1	1	2	3	0	0	2	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	2	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	1	0	0	2	1	3	0	1	5	0	0	0	0	0	0	1	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	1	9	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	7	2
